iter	Passed	Remaining
0	22	3357
1	40	3012
2	63	3097
3	85	3134
4	106	3075
5	126	3035
6	149	3063
7	167	2977
8	186	2916
9	206	2887
10	224	2837
11	242	2785
12	262	2765
13	282	2744
14	302	2720
15	321	2692
16	340	2665
17	365	2680
18	385	2654
19	403	2625
20	422	2597
21	448	2608
22	467	2580
23	485	2549
24	504	2522
25	523	2495
26	540	2464
27	562	2450
28	583	2435
29	614	2459
30	639	2453
31	711	2622
32	769	2727
33	805	2747
34	844	2773
35	968	3065
36	1000	3055
37	1042	3072
38	1082	3080
39	1117	3073
40	1154	3068
41	1180	3036
42	1205	3000
43	1235	2975
44	1263	2948
45	1301	2942
46	1329	2913
47	1351	2871
48	1380	2846
49	1411	2822
50	1435	2786
51	1460	2751
52	1478	2706
53	1515	2694
54	1544	2667
55	1567	2631
56	1594	2600
57	1618	2567
58	1644	2536
59	1676	2514
60	1700	2480
61	1724	2447
62	1756	2424
63	1785	2399
64	1813	2371
65	1843	2345
66	1868	2314
67	1894	2285
68	1919	2253
69	1942	2219
70	1967	2188
71	1991	2157
72	2016	2126
73	2040	2095
74	2065	2065
75	2092	2037
76	2112	2003
77	2140	1976
78	2158	1939
79	2186	1913
80	2207	1880
81	2227	1847
82	2247	1814
83	2271	1784
84	2292	1753
85	2313	1721
86	2331	1688
87	2408	1697
88	2443	1674
89	2461	1640
90	2478	1607
91	2496	1573
92	2522	1545
93	2539	1513
94	2559	1481
95	2586	1454
96	2605	1423
97	2624	1392
98	2645	1362
99	2670	1335
100	2690	1305
101	2709	1274
102	2728	1244
103	2751	1216
104	2774	1189
105	2795	1160
106	2819	1133
107	2839	1104
108	2857	1074
109	2879	1046
110	2899	1018
111	2918	990
112	2935	961
113	2954	933
114	2973	904
115	2991	876
116	3008	848
117	3025	820
118	3043	792
119	3066	766
120	3085	739
121	3103	712
122	3122	685
123	3140	658
124	3157	631
125	3180	605
126	3199	579
127	3218	553
128	3236	526
129	3256	500
130	3275	475
131	3296	449
132	3314	423
133	3332	397
134	3350	372
135	3371	347
136	3388	321
137	3413	296
138	3433	271
139	3451	246
140	3470	221
141	3490	196
142	3510	171
143	3529	147
144	3548	122
145	3570	97
146	3595	73
147	3615	48
148	3635	24
149	3659	0
