feature,pearson_damage,spearman_damage,pearson_log_damage,pearson_log_feat_log_damage,abs_pearson_log_damage
p2p,0.9167939698003256,0.9624542124542124,0.9734826588758057,0.9585621996633825,0.9734826588758057
abs_peak,0.8712988964347079,0.9204212454212453,0.9256010253641687,0.9201426673643354,0.9256010253641687
min,-0.8441479452364518,-0.7996336996336996,-0.8346844768213438,,0.8346844768213438
valley_min,-0.8441479452364518,-0.7996336996336996,-0.8346844768213438,,0.8346844768213438
psd_total_energy,0.8406763919667661,0.7334706959706959,0.8177654399167059,0.7958132044632205,0.8177654399167059
mad,0.7304341232203215,0.8186813186813185,0.8113172531371275,0.7797529005742062,0.8113172531371275
rf_damage_proxy_m3.5,0.8004860630419607,0.7639194139194139,0.808329585586343,0.805893290652274,0.808329585586343
psd_energy_0_10Hz,0.8324765241148661,0.7260531135531135,0.8079472365290077,0.759595158035469,0.8079472365290077
rf_damage_proxy_m4.0,0.8069491876669282,0.7798534798534797,0.807096868189268,0.8221410661317994,0.807096868189268
rf_damage_proxy_m3.3,0.7946547967611712,0.7600274725274725,0.8062483390822237,0.7975506491438256,0.8062483390822237
iqr,0.7444260881891149,0.7999999999999999,0.8049256881300964,0.7669170722662861,0.8049256881300964
rf_damage_proxy_m3.0,0.7815645208994877,0.7503205128205127,0.7994515770384978,0.781331388933443,0.7994515770384978
rf_damage_proxy_m4.5,0.8013215721720826,0.7968864468864468,0.796118359587408,0.8339095142824977,0.796118359587408
std,0.700775894122474,0.8015109890109888,0.7826217620204401,0.7655213411871373,0.7826217620204401
valley_std,0.6981775303700102,0.7997710622710622,0.7807359192867683,0.7631501762431498,0.7807359192867683
peak_std,0.6968214458300375,0.7967032967032965,0.7804835063291825,0.7630488281853428,0.7804835063291825
rf_damage_proxy_m5.0,0.7820526734417956,0.802518315018315,0.7736847833683937,0.8416120615680225,0.7736847833683937
rms,0.6966311270854157,0.778021978021978,0.7664812670409947,0.7553046919937575,0.7664812670409947
rf_max_range,0.7035369569608747,0.765072860316383,0.76069784208141,0.7693514796310734,0.76069784208141
basquin_moment_2.0,0.7316094495974674,0.8015109890109888,0.7545006918190302,0.7655213385341346,0.7545006918190302
var,0.7316094495974674,0.8015109890109888,0.7545006918190302,0.7655213385341346,0.7545006918190302
rf_total_cycles,-0.6940583844333672,-0.6774267399267399,-0.7388689105567374,-0.7420863751098353,0.7388689105567374
